,Run Failed/Stopped Early,BLEU,SARI,FKGL,loss,nll_loss,warmup_updates,parametrization_budget,beam,dropout,fp16,label_smoothing,lr,lr_scheduler,max_epoch,max_tokens,optimizer,LengthRatio,Levenshtein,WordRank,DepTreeDepth,Rec. LengthRatio,Rec. Levenshtein,Rec. WordRank,Rec. DepTreeDepth
99,TRUE,0.61,17.47,0,13.198,13.182,4000,256,3,0.9003550125,FALSE,0.03619688742,0.0004362796374,fixed,100,5000,adam,0.3063610478,0.1028404715,0.2764393865,0.3255887541,,,,
32,TRUE,0.26,17.4,0,13.26,11.203,4000,256,6,0.6445711448,FALSE,0.8052009928,0.000138535456,fixed,100,5000,adam,0.1586595915,0.1484462649,0.4450933892,0.0386017437,,,,
93,TRUE,0.59,17.23,0,12.874,12,4000,256,2,0.7193086095,FALSE,0.5072253649,6.80E-05,fixed,100,5000,adam,0.3719898926,0.03990107645,0.537061631,0.473456168,,,,
7,TRUE,0.73,17.22,0,11.642,9.418,4000,256,10,0.5706151498,FALSE,0.4966320169,0.0008668873333,fixed,100,5000,adam,0.1808150981,0.02260009927,0.7722329792,0.0716286054,,,,
109,TRUE,0.04,17.09,8.36,6.812,6.714,4000,256,6,0.06142013204,FALSE,0.01256983822,0.0009672600924,fixed,100,5000,adam,0.1021736182,0.1438541084,0.1781702319,0.8834245921,,,,
117,TRUE,0.05,16.74,0,9.883,8.653,4000,256,10,0.2071310453,FALSE,0.2230104872,8.23E-05,fixed,100,5000,adam,0.1396669428,0.04778066854,0.8744290303,0.4104757657,,,,
127,TRUE,0.05,16.74,0,9.883,8.653,4000,256,10,0.2071310453,FALSE,0.2230104872,8.23E-05,fixed,100,5000,adam,0.1396669428,0.04778066854,0.8744290303,0.4104757657,,,,
71,TRUE,0,16.71,1.32,13.61,13.215,4000,256,7,0.8869697637,FALSE,0.9209975991,7.08E-06,fixed,100,5000,adam,0.01252486517,0.370515677,0.2144609254,0.7341568407,,,,
17,TRUE,0.01,16.67,2.31,13.599,13.291,4000,256,7,0.9130379603,FALSE,0.8690860328,0.0001688495528,fixed,100,5000,adam,0.03694019432,0.1974334276,0.7136255759,0.8086216666,,,,
38,TRUE,0,16.67,0,13.447,12.191,4000,256,4,0.7311254666,FALSE,0.8345319727,7.34E-05,fixed,100,5000,adam,0.02068286783,0.368971887,0.193966847,0.08586973085,,,,
14,TRUE,0,16.37,0,13.027,8.408,4000,256,10,0.2665169441,FALSE,0.8105846972,6.74E-05,fixed,100,5000,adam,0.009554466771,0.1743894145,0.3152703059,0.09553826272,,,,
41,TRUE,0,16.36,0,9.737,8.477,4000,256,9,0.3853658283,FALSE,0.2250012693,0.0001871930299,fixed,100,5000,adam,0.03081002488,0.7436935206,0.7636928237,0.9682204642,,,,
72,TRUE,0,16.32,0,11.623,11.253,4000,256,6,0.6229518213,FALSE,0.1443063695,9.61E-06,fixed,100,5000,adam,0.002399504893,0.5617556744,0.4597160724,0.5854594798,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,
